Question,Expected Answer,Generated Answer
"Who won the 1982 Illinois gubernatorial election, and how many votes was the margin?","Thompson prevailed in the 1982 Illinois gubernatorial election by a 5,074 vote margin.","James R. Thompson (incumbent) won the 1982 Illinois gubernatorial election with a margin of 5,074 votes."
How did Michael and Mario Andretti do?,"Michael Andretti finished with a run of 214.522 mph, faster than Mario.",Michael Andretti finished in 6th place and Mario Andretti finished in 32nd place.
"How many copies did ""Pleasure"" sell in 1998 alone, and how long was it the best selling album in Japan?","B'z The Best ""Pleasure"" sold more than 5 million copies in 1998 alone, making it a temporary best-selling album in Japanese music history, until being surpassed by Utada Hikaru's First Love in 1999.","""Pleasure"" sold 5,136,000 copies in 1998 and it was the best selling album in Japan for 1 week."
How many passengers can that plane hold?,The Tigerair Australia fleet consists of the following aircraft and Virgin Australia announced that the entire A320 fleet will be replaced with Boeing 737-800 aircraft.,The plane can hold a maximum of 180 passengers.
When and in what play did Platt appear at the Music Box Theatre?,"In 2016 and 2017, Platt played in Dear Evan Hansen on Broadway at the Music Box Theatre.","Platt appeared in the play ""Dear Evan Hansen"" at the Music Box Theatre in 2017."
What are the download rates of EUTRAN?,EUTRAN has download rates of 299.6 Mbit/s and 150.8 Mbit/s.,"The download rates of EUTRAN range from 0.68 Mbit/s to 25,065 Mbit/s."
"What roles did Melina Kanakaredes play in the television dramas; ""Providence (1999–2002)"", ""CSI: NY (2004–2010)"",""Guiding Light""?","Melina Kanakaredes played in television dramas as Dr. Sydney Hansen in Providence (1999–2002) and as Detective Stella Bonasera in CSI: NY (2004–2010), and in the Guiding Light as Eleni Andros Cooper (1991–1995).","Melina Kanakaredes played the lead role of Dr. Sydney Hansen in Providence (1999–2002), the lead role of Detective Stella Bonasera in CSI: NY (2004–2010), and the main cast role of Eleni Andros Cooper in Guiding Light."
"What two teams did Austin Fyten play for during the 2015-16 season, and what league was the first team in?","In the 2015–16 season, Austin Fyten spent within the Bears and ECHL affiliate, the South Carolina Stingrays.","Austin Fyten played for the South Carolina Stingrays and the UFA Bisons during the 2015-16 season, and the first team was in the ECHL."
What countries did the World U-17 Hockey Challenge attract after 2016?,"The World U-17 Hockey Challenge attracted U-17 teams from Russia, Finland, Sweden, the United States, Canada, and the Czech Republic after 2016.","Sweden, Canada Black, Russia, United States, Canada Red, Czech Republic, Finland, Canada West, Canada Ontario, Canada Pacific, Canada Atlantic, Canada Quebec, Czechoslovakia, and Soviet Union."
Which club did Renato Hyshmeri play with in the 2014–15 Albanian Superliga season after leaving Partizani?,"After playing with Partizani, Hyshmeri played with Tirana in the 2014–15 Albanian Superliga season.",Bylis Ballsh
Which candidate won the 1990 Civic Forum leadership election and how many votes did they receive compared to their competitor?,"Klaus won the 1990 Civic Forum leadership election, receiving 115 votes compared to 52 votes.",Václav Klaus won the 1990 Civic Forum leadership election and received 115 votes compared to Martin Palouš' 52 votes.
"Who were the top two candidates in the election, and how many votes did each receive?","John Nygren Republican defeated Joe Reinhard in the election (16,081–11,129).",The top two candidates in the election and the number of votes they received depend on which election is being referenced.
Where did Luchia Yishak place in the 3000m in the 1991 All-Africa Games? ,Luchia Yishak was the runner-up in the 3000 m at the 1991 All-Africa Games.,2nd
Who were the sponsors for the away shirts of Colchester United FC?,"Away shirt sponsorship has been provided by Ashby's (1999–2000), Ridley's (2000–2002), 188Trades.com (2005–2006), Smart Energy (2006–2009) and JobServe (2009–2010, 2012–).","The sponsors for the away shirts of Colchester United FC were Royal London Group, Norcross Estates, Holimarine, Colchester Hippodrome, The Sun, Strovers, SGR Colchester, Goldstar Fabrications, Guardian Direct, Ashby's, Ridley's, Tiptree Jams, ICS Triplex, 188Trades.com, Smart Energy, JobServe, and ROL Cruise."
How much did the average attendance numbers for the Kansas City Comets vary?,"The Kansas City Comets had a average high attendance of 15,786 in the 1983–1984 season and a low attendance of 7,103 in the 1990–1991 season.","The average attendance numbers for the Kansas City Comets varied from 7,103 to 15,786."
"What roles did Blake Hood portray in the shows ""90210"" and ""The Young and the Restless""?",Blake Hood played as Mark Driscoll on The 90210 and as Kyle Jenkins Abbott on The Young and the Restless.,"Blake Hood portrayed Mark Driscoll in ""90210"" and Kyle Jenkins Abbott in ""The Young and the Restless""."
How well did Austin block perform during his two seasons with the Fairbanks ice dogs?,"Block played with the Fairbanks Ice Dogs of the North American Hockey League for two seasons, where he had 100 points (42 goals, 58 assists) in 110 games, as he led the league in points (76) in 2008–09.","During his two seasons with the Fairbanks Ice Dogs, Austin Block had a regular season record of 52-10-14-24 and a playoff record of 9-1-4-5-18."
